leaves,vector,bottom_permutation,top_permutation,permutation,orbits
5,[0 1 0 0 0 0],(0 2)(1 4)(3 5),(0 3)(1 5)(2 4),"[[3, 5, 1, 4, 2, 0]]",1
7,[0 2 0 0 0 0],(0 2)(1 4)(3 6)(5 7),(0 5)(1 7)(2 4)(3 6),"[[5, 7, 1, 4, 2, 0], [6, 3]]",2
5,[1 0 0 0 0 0],(0 2)(1 4)(3 5),(0 4)(1 3)(2 5),"[[4, 1, 3, 5, 2, 0]]",1
7,[1 1 0 0 0 0],(0 2)(1 4)(3 6)(5 7),(0 6)(1 5)(2 4)(3 7),"[[6, 3, 7, 5, 1, 4, 2, 0]]",1
9,[1 2 0 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 7)(2 4)(3 6)(5 9),"[[8, 5, 9, 7, 1, 4, 2, 0], [6, 3]]",2
7,[2 0 0 0 0 0],(0 2)(1 4)(3 6)(5 7),(0 6)(1 3)(2 5)(4 7),"[[6, 3, 1, 4, 7, 5, 2, 0]]",1
9,[2 1 0 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 5)(2 4)(3 7)(6 9),"[[8, 5, 1, 4, 2, 0], [7, 9, 6, 3]]",2
11,[2 2 0 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 7)(2 4)(3 6)(5 9)(8 11),"[[10, 7, 1, 4, 2, 0], [6, 3], [9, 11, 8, 5]]",3
7,[0 0 1 0 0 0],(0 2)(1 4)(3 6)(5 7),(0 2)(1 6)(3 5)(4 7),"[[2, 0], [6, 3, 5, 7, 4, 1]]",2
7,[0 1 1 0 0 0],(0 2)(1 4)(3 6)(5 7),(0 4)(1 7)(2 6)(3 5),"[[4, 1, 7, 5, 3, 6, 2, 0]]",1
9,[0 2 1 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 9),(0 7)(1 9)(2 6)(3 5)(4 8),"[[7, 9, 1, 4, 8, 5, 3, 6, 2, 0]]",1
7,[1 0 1 0 0 0],(0 2)(1 4)(3 6)(5 7),(0 6)(1 4)(2 7)(3 5),"[[6, 3, 5, 7, 2, 0], [4, 1]]",2
9,[1 1 1 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 7)(2 6)(3 5)(4 9),"[[8, 5, 3, 6, 2, 0], [7, 9, 4, 1]]",2
11,[1 2 1 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 9)(2 6)(3 5)(4 8)(7 11),"[[10, 7, 11, 9, 1, 4, 8, 5, 3, 6, 2, 0]]",1
9,[2 0 1 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 9),(0 8)(1 4)(2 7)(3 5)(6 9),"[[8, 5, 3, 6, 9, 7, 2, 0], [4, 1]]",2
11,[2 1 1 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 7)(2 6)(3 5)(4 9)(8 11),"[[10, 7, 1, 4, 9, 11, 8, 5, 3, 6, 2, 0]]",1
13,[2 2 1 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 9)(2 6)(3 5)(4 8)(7 11)(10 13),"[[12, 9, 1, 4, 8, 5, 3, 6, 2, 0], [11, 13, 10, 7]]",2
9,[0 0 2 0 0 0],(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 8)(3 5)(4 7)(6 9),"[[2, 0], [8, 5, 3, 6, 9, 7, 4, 1]]",2
